=== Functions of PE#2 (flyinput.dll) ===
  0x1800160B0 - 0x1800160B6 (size 0x6) ?_Xlength_error@std@@YAXPEBD@Z
  0x1800160C0 - 0x1800160C6 (size 0x6) _Cnd_broadcast
  0x1800160D0 - 0x1800160D6 (size 0x6) _Cnd_do_broadcast_at_thread_exit
  0x1800160E0 - 0x1800160E6 (size 0x6) _Cnd_wait
  0x1800160F0 - 0x1800160F6 (size 0x6) _Mtx_lock
  0x180016100 - 0x180016106 (size 0x6) _Mtx_unlock
  0x180016110 - 0x180016116 (size 0x6) _Query_perf_counter
  0x180016120 - 0x180016126 (size 0x6) _Query_perf_frequency
  0x180016130 - 0x180016136 (size 0x6) _Thrd_detach
  0x180016140 - 0x180016146 (size 0x6) _Thrd_id
  0x180016150 - 0x180016156 (size 0x6) _Thrd_join
  0x180016160 - 0x180016166 (size 0x6) _CxxThrowException
  0x180016170 - 0x180016176 (size 0x6) __C_specific_handler
  0x180016180 - 0x180016186 (size 0x6) __std_exception_copy
  0x180016190 - 0x180016196 (size 0x6) __std_exception_destroy
  0x1800161A0 - 0x1800161A6 (size 0x6) __std_type_info_destroy_list
  0x1800161B0 - 0x1800161B6 (size 0x6) _callnewh
  0x1800161C0 - 0x1800161C6 (size 0x6) _cexit
  0x1800161D0 - 0x1800161D6 (size 0x6) _configure_narrow_argv
  0x1800161E0 - 0x1800161E6 (size 0x6) _crt_atexit
  0x1800161F0 - 0x1800161F6 (size 0x6) _execute_onexit_table
  0x180016200 - 0x180016206 (size 0x6) _initialize_narrow_environment
  0x180016210 - 0x180016216 (size 0x6) _initialize_onexit_table
  0x180016220 - 0x180016226 (size 0x6) _initterm
  0x180016230 - 0x180016236 (size 0x6) _initterm_e
  0x180016240 - 0x180016246 (size 0x6) _register_onexit_function
  0x180016250 - 0x180016256 (size 0x6) _seh_filter_dll
  0x180016260 - 0x180016266 (size 0x6) free
  0x180016270 - 0x180016276 (size 0x6) malloc
  0x180016280 - 0x180016286 (size 0x6) memcpy

Total functions: 121
